Student_ID,Age,Gender,College_Tier,City_Type,Monthly_Allowance,Has_Part_Time_Job,Uses_Finance_App,Top_3_Money_Challenges
94,19,Non-binary,Tier 3,Rural,4000,No,None,"Peer pressure spending, No financial knowledge, Saving"
95,20,F,Tier 3,Urban,8000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
96,20,M,Tier 3,Rural,7000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
97,19,M,Tier 2,Urban,2000,No,Cred,"Lack of tools, Parental dependency, Side income"
98,23,F,Tier 1,Urban,8000,No,None,"Budgeting, Saving, Loans"
99,20,M,Tier 3,Urban,8000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
100,23,F,Tier 3,Semi-urban,7000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
101,23,M,Tier 1,Semi-urban,4000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
102,23,F,Tier 2,Rural,3000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
103,18,M,Tier 3,Rural,6000,No,Jupiter,"Loans, Rent sharing, No bank account"
104,22,Non-binary,Tier 2,Rural,6000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
105,23,Non-binary,Tier 3,Semi-urban,6000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
106,19,M,Tier 2,Rural,3000,No,Jupiter,"Lack of tools, Parental dependency, Side income"
107,22,F,Tier 1,Semi-urban,7000,No,Jupiter,"Budgeting, Saving, Loans"
108,23,M,Tier 3,Urban,5000,No,None,"Loans, Rent sharing, No bank account"
109,19,M,Tier 3,Urban,4000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
110,19,Non-binary,Tier 3,Semi-urban,7000,Yes,None,"Loans, Rent sharing, No bank account"
111,21,F,Tier 3,Semi-urban,2000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
112,21,Non-binary,Tier 3,Urban,8000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
113,20,M,Tier 1,Semi-urban,8000,No,Walnut,"Loans, Rent sharing, No bank account"
114,23,Non-binary,Tier 3,Urban,3000,No,Splitwise,"Budgeting, Saving, Loans"
115,23,F,Tier 3,Rural,5000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
116,22,M,Tier 2,Urban,5000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
117,19,M,Tier 3,Urban,2000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
118,23,Non-binary,Tier 2,Rural,3000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
119,20,F,Tier 1,Semi-urban,5000,No,Jupiter,"Budgeting, Saving, Loans"
120,24,F,Tier 2,Rural,7000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
121,24,F,Tier 2,Urban,6000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
122,24,F,Tier 1,Urban,2000,No,Cred,"Budgeting, Saving, Loans"
123,18,F,Tier 1,Urban,6000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
124,19,M,Tier 2,Urban,2000,Yes,None,"Lack of tools, Parental dependency, Side income"
125,24,M,Tier 2,Urban,4000,No,Cred,"Loans, Rent sharing, No bank account"
126,18,F,Tier 1,Rural,4000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
127,24,F,Tier 1,Urban,3000,No,Jupiter,"Loans, Rent sharing, No bank account"
128,20,M,Tier 1,Semi-urban,5000,No,Cred,"Loans, Rent sharing, No bank account"
129,21,M,Tier 1,Rural,8000,No,Walnut,"Lack of tools, Parental dependency, Side income"
130,20,F,Tier 1,Rural,8000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
131,18,F,Tier 2,Rural,6000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
132,19,M,Tier 1,Urban,5000,No,Cred,"Budgeting, Saving, Loans"
133,22,Non-binary,Tier 3,Urban,4000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
134,23,Non-binary,Tier 3,Rural,6000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
135,20,Non-binary,Tier 3,Urban,7000,Yes,Cred,"Budgeting, Saving, Loans"
136,19,M,Tier 3,Semi-urban,3000,No,None,"Peer pressure spending, No financial knowledge, Saving"
137,23,M,Tier 1,Semi-urban,8000,Yes,None,"Lack of tools, Parental dependency, Side income"
138,21,M,Tier 3,Urban,5000,No,Walnut,"Budgeting, Saving, Loans"
139,21,Non-binary,Tier 2,Rural,8000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
140,23,F,Tier 3,Urban,2000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
141,21,M,Tier 1,Urban,2000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
142,19,M,Tier 3,Urban,6000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
143,20,M,Tier 2,Rural,2000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
144,19,Non-binary,Tier 1,Semi-urban,2000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
145,19,F,Tier 1,Urban,4000,No,Splitwise,"Loans, Rent sharing, No bank account"
146,23,Non-binary,Tier 1,Rural,3000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
147,22,Non-binary,Tier 3,Rural,2000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
148,22,Non-binary,Tier 3,Semi-urban,2000,No,Cred,"Budgeting, Saving, Loans"
149,20,M,Tier 1,Rural,8000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
150,23,Non-binary,Tier 3,Rural,5000,Yes,Splitwise,"Budgeting, Saving, Loans"
151,22,F,Tier 2,Rural,6000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
152,21,F,Tier 1,Semi-urban,4000,Yes,Cred,"Budgeting, Saving, Loans"
153,22,F,Tier 2,Urban,7000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
154,21,F,Tier 2,Semi-urban,7000,No,Walnut,"Loans, Rent sharing, No bank account"
155,20,Non-binary,Tier 3,Urban,6000,Yes,Walnut,"Budgeting, Saving, Loans"
156,19,F,Tier 3,Rural,8000,Yes,None,"Lack of tools, Parental dependency, Side income"
157,19,F,Tier 1,Rural,5000,No,Walnut,"Loans, Rent sharing, No bank account"
158,22,Non-binary,Tier 2,Urban,5000,No,Walnut,"Tracking expenses, Overspending, Emergency funds"
159,21,Non-binary,Tier 3,Semi-urban,7000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
160,18,M,Tier 2,Semi-urban,5000,Yes,None,"Peer pressure spending, No financial knowledge, Saving"
161,24,Non-binary,Tier 3,Semi-urban,2000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
162,18,Non-binary,Tier 2,Urban,7000,Yes,Walnut,"Loans, Rent sharing, No bank account"
163,24,M,Tier 1,Rural,6000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
164,18,M,Tier 3,Rural,6000,No,None,"Peer pressure spending, No financial knowledge, Saving"
165,19,Non-binary,Tier 1,Rural,6000,No,None,"Tracking expenses, Overspending, Emergency funds"
166,23,M,Tier 2,Urban,3000,No,None,"Budgeting, Saving, Loans"
167,19,F,Tier 2,Rural,4000,Yes,Cred,"Loans, Rent sharing, No bank account"
168,24,Non-binary,Tier 1,Rural,2000,No,Splitwise,"Tracking expenses, Overspending, Emergency funds"
169,23,M,Tier 2,Semi-urban,4000,Yes,None,"Tracking expenses, Overspending, Emergency funds"
170,21,M,Tier 3,Rural,2000,Yes,None,"Budgeting, Saving, Loans"
171,22,M,Tier 3,Semi-urban,6000,No,Cred,"Lack of tools, Parental dependency, Side income"
172,18,M,Tier 2,Urban,3000,No,Splitwise,"Lack of tools, Parental dependency, Side income"
173,21,Non-binary,Tier 2,Semi-urban,8000,Yes,None,"Loans, Rent sharing, No bank account"
174,21,M,Tier 2,Rural,3000,No,None,"Budgeting, Saving, Loans"
175,22,M,Tier 2,Rural,6000,Yes,Jupiter,"Budgeting, Saving, Loans"
176,21,M,Tier 3,Semi-urban,4000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
177,22,F,Tier 3,Rural,5000,No,Walnut,"Budgeting, Saving, Loans"
178,20,F,Tier 2,Semi-urban,6000,No,None,"Loans, Rent sharing, No bank account"
179,22,Non-binary,Tier 1,Rural,7000,Yes,Cred,"Budgeting, Saving, Loans"
180,24,Non-binary,Tier 1,Semi-urban,8000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
181,18,F,Tier 3,Semi-urban,8000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
182,23,F,Tier 1,Urban,7000,No,Walnut,"Budgeting, Saving, Loans"
183,23,M,Tier 2,Semi-urban,7000,Yes,Jupiter,"Budgeting, Saving, Loans"
184,18,M,Tier 1,Semi-urban,7000,Yes,Cred,"Loans, Rent sharing, No bank account"
185,23,F,Tier 3,Urban,2000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
186,22,Non-binary,Tier 2,Rural,4000,No,Walnut,"Budgeting, Saving, Loans"
187,24,F,Tier 2,Semi-urban,7000,No,Splitwise,"Loans, Rent sharing, No bank account"
188,20,Non-binary,Tier 3,Urban,5000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
189,24,F,Tier 1,Urban,7000,No,None,"Tracking expenses, Overspending, Emergency funds"
190,23,M,Tier 3,Semi-urban,8000,No,None,"Peer pressure spending, No financial knowledge, Saving"
191,20,Non-binary,Tier 3,Rural,3000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
192,18,M,Tier 1,Urban,2000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
193,20,F,Tier 2,Semi-urban,3000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
194,21,Non-binary,Tier 1,Urban,2000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
195,19,Non-binary,Tier 1,Rural,5000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
196,21,Non-binary,Tier 2,Semi-urban,2000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
197,18,M,Tier 2,Semi-urban,5000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
198,23,F,Tier 3,Rural,6000,Yes,Cred,"Budgeting, Saving, Loans"
199,23,M,Tier 1,Rural,6000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
200,20,Non-binary,Tier 2,Urban,2000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
201,22,M,Tier 1,Semi-urban,4000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
202,24,Non-binary,Tier 1,Urban,7000,No,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
203,19,M,Tier 2,Semi-urban,7000,No,Splitwise,"Budgeting, Saving, Loans"
204,22,F,Tier 2,Urban,7000,Yes,Cred,"Budgeting, Saving, Loans"
205,18,M,Tier 1,Semi-urban,7000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
206,24,M,Tier 2,Rural,3000,No,Cred,"Loans, Rent sharing, No bank account"
207,23,M,Tier 1,Urban,2000,No,Splitwise,"Loans, Rent sharing, No bank account"
208,20,M,Tier 2,Semi-urban,2000,Yes,Splitwise,"Budgeting, Saving, Loans"
209,24,F,Tier 3,Semi-urban,7000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
210,23,Non-binary,Tier 2,Urban,3000,Yes,Jupiter,"Loans, Rent sharing, No bank account"
211,22,Non-binary,Tier 1,Rural,7000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
212,22,Non-binary,Tier 2,Rural,2000,No,Splitwise,"Loans, Rent sharing, No bank account"
213,19,F,Tier 1,Urban,3000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
214,19,F,Tier 2,Urban,5000,No,None,"Peer pressure spending, No financial knowledge, Saving"
215,20,M,Tier 1,Semi-urban,4000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
216,24,F,Tier 1,Semi-urban,6000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
217,19,Non-binary,Tier 2,Rural,6000,No,Jupiter,"Loans, Rent sharing, No bank account"
218,22,F,Tier 1,Rural,8000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
219,24,Non-binary,Tier 3,Rural,8000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
220,22,F,Tier 3,Urban,7000,Yes,Walnut,"Budgeting, Saving, Loans"
221,18,F,Tier 2,Urban,4000,Yes,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
222,22,Non-binary,Tier 1,Urban,3000,No,None,"Loans, Rent sharing, No bank account"
223,20,Non-binary,Tier 1,Rural,4000,Yes,None,"Peer pressure spending, No financial knowledge, Saving"
224,21,F,Tier 1,Rural,3000,Yes,Splitwise,"Loans, Rent sharing, No bank account"
225,18,F,Tier 2,Rural,7000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
226,18,M,Tier 2,Rural,8000,Yes,Jupiter,"Budgeting, Saving, Loans"
227,20,Non-binary,Tier 3,Urban,8000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
228,24,M,Tier 1,Semi-urban,4000,Yes,Cred,"Budgeting, Saving, Loans"
229,24,F,Tier 3,Urban,7000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
230,20,Non-binary,Tier 2,Semi-urban,2000,Yes,None,"Budgeting, Saving, Loans"
231,19,F,Tier 2,Semi-urban,8000,No,Cred,"Budgeting, Saving, Loans"
232,18,Non-binary,Tier 3,Urban,2000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
233,19,F,Tier 1,Urban,4000,No,Jupiter,"Budgeting, Saving, Loans"
234,22,M,Tier 1,Urban,8000,No,None,"Budgeting, Saving, Loans"
235,18,M,Tier 1,Rural,5000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
236,18,M,Tier 2,Urban,4000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
237,23,Non-binary,Tier 1,Rural,6000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
238,21,Non-binary,Tier 1,Semi-urban,2000,Yes,Walnut,"Loans, Rent sharing, No bank account"
239,24,Non-binary,Tier 3,Urban,4000,Yes,None,"Loans, Rent sharing, No bank account"
240,18,M,Tier 3,Rural,7000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
241,24,Non-binary,Tier 3,Rural,6000,No,Jupiter,"Loans, Rent sharing, No bank account"
242,22,F,Tier 3,Rural,7000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
243,24,Non-binary,Tier 2,Urban,2000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
244,19,M,Tier 1,Semi-urban,5000,Yes,Splitwise,"Peer pressure spending, No financial knowledge, Saving"
245,19,M,Tier 2,Urban,5000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
246,23,F,Tier 1,Rural,6000,No,Cred,"Loans, Rent sharing, No bank account"
247,21,Non-binary,Tier 2,Semi-urban,4000,Yes,Walnut,"Budgeting, Saving, Loans"
248,22,Non-binary,Tier 1,Semi-urban,2000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
249,19,F,Tier 1,Semi-urban,5000,Yes,Cred,"Loans, Rent sharing, No bank account"
250,20,F,Tier 1,Semi-urban,8000,No,Cred,"Tracking expenses, Overspending, Emergency funds"
251,22,M,Tier 2,Rural,6000,No,Walnut,"Budgeting, Saving, Loans"
252,24,Non-binary,Tier 3,Rural,3000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
253,22,F,Tier 3,Semi-urban,4000,No,None,"Budgeting, Saving, Loans"
254,21,Non-binary,Tier 2,Semi-urban,3000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
255,19,F,Tier 1,Semi-urban,4000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
256,22,M,Tier 1,Semi-urban,8000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
257,24,F,Tier 2,Rural,2000,Yes,Splitwise,"Lack of tools, Parental dependency, Side income"
258,23,F,Tier 3,Semi-urban,6000,No,Jupiter,"Tracking expenses, Overspending, Emergency funds"
259,23,F,Tier 3,Semi-urban,7000,Yes,Jupiter,"Tracking expenses, Overspending, Emergency funds"
260,19,F,Tier 1,Urban,7000,Yes,Splitwise,"Tracking expenses, Overspending, Emergency funds"
261,23,F,Tier 3,Rural,2000,No,Jupiter,"Loans, Rent sharing, No bank account"
262,20,Non-binary,Tier 3,Semi-urban,3000,Yes,Cred,"Peer pressure spending, No financial knowledge, Saving"
263,21,M,Tier 3,Semi-urban,7000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
264,23,M,Tier 1,Urban,6000,No,None,"Lack of tools, Parental dependency, Side income"
265,23,F,Tier 3,Semi-urban,2000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
266,20,F,Tier 1,Semi-urban,2000,No,Walnut,"Peer pressure spending, No financial knowledge, Saving"
267,21,Non-binary,Tier 2,Semi-urban,8000,No,Jupiter,"Peer pressure spending, No financial knowledge, Saving"
268,22,F,Tier 2,Urban,8000,No,None,"Lack of tools, Parental dependency, Side income"
269,21,F,Tier 1,Rural,2000,Yes,Cred,"Lack of tools, Parental dependency, Side income"
270,18,Non-binary,Tier 3,Urban,3000,Yes,Splitwise,"Budgeting, Saving, Loans"
271,19,F,Tier 2,Rural,2000,No,Cred,"Budgeting, Saving, Loans"
272,19,Non-binary,Tier 1,Urban,5000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
273,18,M,Tier 3,Urban,4000,No,Splitwise,"Budgeting, Saving, Loans"
274,20,F,Tier 2,Semi-urban,5000,No,Cred,"Peer pressure spending, No financial knowledge, Saving"
275,18,M,Tier 1,Rural,3000,Yes,Walnut,"Lack of tools, Parental dependency, Side income"
276,22,F,Tier 3,Rural,3000,Yes,Jupiter,"Lack of tools, Parental dependency, Side income"
277,22,F,Tier 3,Rural,8000,Yes,None,"Tracking expenses, Overspending, Emergency funds"
278,19,F,Tier 1,Rural,2000,Yes,Walnut,"Peer pressure spending, No financial knowledge, Saving"
279,22,M,Tier 3,Semi-urban,6000,Yes,None,"Peer pressure spending, No financial knowledge, Saving"
280,19,F,Tier 2,Semi-urban,8000,No,Splitwise,"Loans, Rent sharing, No bank account"
281,18,Non-binary,Tier 1,Urban,7000,Yes,None,"Loans, Rent sharing, No bank account"
282,18,M,Tier 3,Urban,7000,Yes,Walnut,"Tracking expenses, Overspending, Emergency funds"
283,23,Non-binary,Tier 3,Semi-urban,7000,Yes,None,"Loans, Rent sharing, No bank account"
